"id","loss"
4,-198.3512787293
6,-198.3512787293
9,-198.3512787293
12,-198.3512787293
15,-198.3512787293
17,-198.3512787293
21,-198.3512787293
28,-198.3512787293
32,-198.3512787293
43,-198.3512787293
46,-198.3512787293
50,-198.3512787293
54,-198.3512787293
62,-198.3512787293
70,-198.3512787293
71,-198.3512787293
75,-198.3512787293
77,-198.3512787293
81,-198.3512787293
83,-198.3512787293
87,-198.3512787293
97,-198.3512787293
103,-198.3512787293
119,-198.3512787293
120,-198.3512787293
127,-198.3512787293
138,-198.3512787293
141,-198.3512787293
148,-198.3512787293
150,-198.3512787293
151,-198.3512787293
158,-198.3512787293
160,-198.3512787293
165,-198.3512787293
168,-198.3512787293
169,-198.3512787293
177,-198.3512787293
178,-198.3512787293
184,-198.3512787293
194,-198.3512787293
198,-198.3512787293
203,-198.3512787293
211,-198.3512787293
217,-198.3512787293
219,-198.3512787293
221,-198.3512787293
227,-198.3512787293
230,-198.3512787293
235,-198.3512787293
240,-198.3512787293
243,-198.3512787293
249,-198.3512787293
253,-198.3512787293
258,-198.3512787293
261,-198.3512787293
263,-198.3512787293
264,-198.3512787293
265,-198.3512787293
268,-198.3512787293
271,-198.3512787293
274,-198.3512787293
275,-198.3512787293
279,-198.3512787293
282,-198.3512787293
286,-198.3512787293
288,-198.3512787293
294,-198.3512787293
296,-198.3512787293
297,-198.3512787293
300,-198.3512787293
303,-198.3512787293
314,-198.3512787293
315,-198.3512787293
321,-198.3512787293
323,-198.3512787293
330,-198.3512787293
341,-198.3512787293
342,-198.3512787293
352,-198.3512787293
353,-198.3512787293
360,-198.3512787293
361,-198.3512787293
362,-198.3512787293
366,-198.3512787293
372,-198.3512787293
376,-198.3512787293
377,-198.3512787293
379,-198.3512787293
380,-198.3512787293
387,-198.3512787293
392,-198.3512787293
394,-198.3512787293
395,-198.3512787293
397,-198.3512787293
407,-198.3512787293
411,-198.3512787293
416,-198.3512787293
417,-198.3512787293
419,-198.3512787293
428,-198.3512787293
431,-198.3512787293
436,-198.3512787293
438,-198.3512787293
445,-198.3512787293
446,-198.3512787293
455,-198.3512787293
456,-198.3512787293
461,-198.3512787293
463,-198.3512787293
464,-198.3512787293
466,-198.3512787293
467,-198.3512787293
470,-198.3512787293
475,-198.3512787293
482,-198.3512787293
490,-198.3512787293
496,-198.3512787293
497,-198.3512787293
508,-198.3512787293
510,-198.3512787293
512,-198.3512787293
513,-198.3512787293
523,-198.3512787293
531,-198.3512787293
532,-198.3512787293
533,-198.3512787293
537,-198.3512787293
544,-198.3512787293
547,-198.3512787293
556,-198.3512787293
565,-198.3512787293
566,-198.3512787293
571,-198.3512787293
573,-198.3512787293
574,-198.3512787293
581,-198.3512787293
585,-198.3512787293
589,-198.3512787293
597,-198.3512787293
601,-198.3512787293
602,-198.3512787293
613,-198.3512787293
616,-198.3512787293
619,-198.3512787293
622,-198.3512787293
623,-198.3512787293
629,-198.3512787293
634,-198.3512787293
